Descripción;ene-23;feb-23;mar-23;Total
Subtotal: 808;1;;;1
;;;;
BES;;;;
        BES FERRARI;1;;;1
Subtotal: BES;1;;;1
;;;;
BSE;;;;
        BSE C10;;1;;1
Subtotal: BSE;;1;;1
;;;;
CAKE;;;;
        CAKE OSA+;1;;;1
Subtotal: CAKE;1;;;1
;;;;
DA DALT;;;;
        DA DALT PRETI 50;1;;;1
Subtotal: DA DALT;1;;;1
;;;;
DERRI;;;;
        DERRI 1960;1;;;1
Subtotal: DERRI;1;;;1
;;;;
ECOOTER;;;;
        ECOOTER E2 L1E;;;1;1
Subtotal: ECOOTER;;;1;1
;;;;
GAF;;;;
        GAF GX 250;1;;;1
Subtotal: GAF;1;;;1
;;;;
GHIGGERI;;;;
        GHIGGERI CITTA 150;;;1;1
Subtotal: GHIGGERI;;;1;1
;;;;
GÜIZZO;;;;
        GÜIZZO ALPINO;1;;;1
Subtotal: GÜIZZO;1;;;1
;;;;
JIANSHE;;;;
        JIANSHE JS 125-7F;1;;;1
Subtotal: JIANSHE;1;;;1
;;;;
LAMBRETA;;;;
        LAMBRETA CENTO;1;;;1
Subtotal: LAMBRETA;1;;;1
;;;;
LAMBRETTA;;;;
        LAMBRETTA LD 125;1;;;1
Subtotal: LAMBRETTA;1;;;1
;;;;
LINHAI YAMAHA;;;;
        LINHAI YAMAHA CL100-4;;1;;1
Subtotal: LINHAI YAMAHA;;1;;1
;;;;
LUJAN HERMANOS;;;;
        LUJAN HERMANOS LUJAN;;1;;1
Subtotal: LUJAN HERMANOS;;1;;1
;;;;
MADEMOTO;;;;
        MADEMOTO ES8004 1.5 KW;1;;;1
Subtotal: MADEMOTO;1;;;1
;;;;
MAVERICK;;;;
        MAVERICK MA100-2B;1;;;1
Subtotal: MAVERICK;1;;;1
;;;;
MI-VAL;;;;
        MI-VAL MI-VAL 125 2T;1;;;1
Subtotal: MI-VAL;1;;;1
;;;;
MONTESA;;;;
        MONTESA COTA;1;;;1
Subtotal: MONTESA;1;;;1
;;;;
MS 50;;;;
        MS 50 MONDIAL;;;1;1
Subtotal: MS 50;;;1;1
;;;;
NORTON;;;;
        NORTON ES2/ 1948;1;;;1
Subtotal: NORTON;1;;;1
;;;;
PUCH;;;;
        PUCH 1959;1;;;1
Subtotal: PUCH;1;;;1
;;;;
RUMI;;;;
        RUMI FORMICHINO;;1;;1
Subtotal: RUMI;;1;;1
;;;;
VESPA;;;;
        VESPA VESPA;1;;;1
Subtotal: VESPA;1;;;1
;;;;
VYATKA;;;;
        VYATKA 150CC;;;1;1
Subtotal: VYATKA;;;1;1
;;;;
TOTAL;41.163;35.584;48.411;125.158
